State,Date,Sex,Ethnicity,Population,Event_Type,Area
W.P. Labuan,01/01/2022,Male,Chinese,22,Birth,91
W.P. Labuan,01/01/2022,Female,Chinese,24,Birth,91
W.P. Putrajaya,01/01/2022,Male,Chinese,6,Birth,49
W.P. Putrajaya,01/01/2022,Female,Chinese,3,Birth,49
Johor,01/01/2022,Both,Indian,2225,Birth,19210
Kedah,01/01/2022,Both,Indian,1021,Birth,9500
Kelantan,01/01/2022,Both,Indian,22,Birth,15099
Melaka,01/01/2022,Both,Indian,479,Birth,1664
Negeri Sembilan,01/01/2022,Both,Indian,1702,Birth,6686
Pahang,01/01/2022,Both,Indian,465,Birth,36137
Perak,01/01/2022,Both,Indian,2325,Birth,21035
Perlis,01/01/2022,Both,Indian,18,Birth,821
Pulau Pinang,01/01/2022,Both,Indian,1474,Birth,1048
Sabah,01/01/2022,Both,Indian,62,Birth,72631
Sarawak,01/01/2022,Both,Indian,33,Birth,124450
Selangor,01/01/2022,Both,Indian,6371,Birth,8104
Terengganu,01/01/2022,Both,Indian,4,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Both,Indian,1211,Birth,243
W.P. Labuan,01/01/2022,Both,Indian,6,Birth,91
W.P. Putrajaya,01/01/2022,Both,Indian,21,Birth,49
Johor,01/01/2022,Male,Indian,1131,Birth,19210
Johor,01/01/2022,Female,Indian,1094,Birth,19210
Kedah,01/01/2022,Male,Indian,505,Birth,9500
Kedah,01/01/2022,Female,Indian,516,Birth,9500
Kelantan,01/01/2022,Male,Indian,13,Birth,15099
Kelantan,01/01/2022,Female,Indian,9,Birth,15099
Melaka,01/01/2022,Male,Indian,249,Birth,1664
Melaka,01/01/2022,Female,Indian,230,Birth,1664
Negeri Sembilan,01/01/2022,Male,Indian,881,Birth,6686
Negeri Sembilan,01/01/2022,Female,Indian,821,Birth,6686
Pahang,01/01/2022,Male,Indian,230,Birth,36137
Pahang,01/01/2022,Female,Indian,235,Birth,36137
Perak,01/01/2022,Male,Indian,1212,Birth,21035
Perak,01/01/2022,Female,Indian,1113,Birth,21035
Perlis,01/01/2022,Male,Indian,8,Birth,821
Perlis,01/01/2022,Female,Indian,10,Birth,821
Pulau Pinang,01/01/2022,Male,Indian,734,Birth,1048
Pulau Pinang,01/01/2022,Female,Indian,740,Birth,1048
Sabah,01/01/2022,Male,Indian,33,Birth,72631
Sabah,01/01/2022,Female,Indian,29,Birth,72631
Sarawak,01/01/2022,Male,Indian,19,Birth,124450
Sarawak,01/01/2022,Female,Indian,14,Birth,124450
Selangor,01/01/2022,Male,Indian,3287,Birth,8104
Selangor,01/01/2022,Female,Indian,3084,Birth,8104
Terengganu,01/01/2022,Male,Indian,4,Birth,13035
Terengganu,01/01/2022,Female,Indian,0,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Male,Indian,599,Birth,243
W.P. Kuala Lumpur,01/01/2022,Female,Indian,612,Birth,243
W.P. Labuan,01/01/2022,Male,Indian,2,Birth,91
W.P. Labuan,01/01/2022,Female,Indian,4,Birth,91
W.P. Putrajaya,01/01/2022,Male,Indian,14,Birth,49
W.P. Putrajaya,01/01/2022,Female,Indian,7,Birth,49
Johor,01/01/2022,Both,Overall,4028,Total,19210
Kedah,01/01/2022,Both,Overall,2163,Total,9500
Kelantan,01/01/2022,Both,Overall,1831,Total,15099
Melaka,01/01/2022,Both,Overall,1009,Total,1664
Negeri Sembilan,01/01/2022,Both,Overall,1208,Total,6686
Pahang,01/01/2022,Both,Overall,1614,Total,36137
Perak,01/01/2022,Both,Overall,2514,Total,21035
Perlis,01/01/2022,Both,Overall,290,Total,821
Pulau Pinang,01/01/2022,Both,Overall,1741,Total,1048
Sabah,01/01/2022,Both,Overall,3415,Total,72631
Sarawak,01/01/2022,Both,Overall,2474,Total,124450
Selangor,01/01/2022,Both,Overall,7050,Total,8104
Terengganu,01/01/2022,Both,Overall,1187,Total,13035
W.P. Kuala Lumpur,01/01/2022,Both,Overall,1961,Total,243
W.P. Labuan,01/01/2022,Both,Overall,97,Total,91
W.P. Putrajaya,01/01/2022,Both,Overall,117,Total,49
