State,Date,Year,Ethnicity,NumberOfPeople,Category
W.P. Labuan,01/01/2014,2014,Chinese,62,Death
W.P. Labuan,01/01/2015,2015,Chinese,45,Death
W.P. Labuan,01/01/2016,2016,Chinese,50,Death
W.P. Labuan,01/01/2017,2017,Chinese,59,Death
W.P. Labuan,01/01/2018,2018,Chinese,66,Death
W.P. Labuan,01/01/2019,2019,Chinese,63,Death
W.P. Labuan,01/01/2020,2020,Chinese,72,Death
W.P. Labuan,01/01/2021,2021,Chinese,93,Death
W.P. Labuan,01/01/2022,2022,Chinese,79,Death
W.P. Putrajaya,01/01/2012,2012,Chinese,1,Death
W.P. Putrajaya,01/01/2013,2013,Chinese,6,Death
W.P. Putrajaya,01/01/2014,2014,Chinese,6,Death
W.P. Putrajaya,01/01/2015,2015,Chinese,4,Death
W.P. Putrajaya,01/01/2016,2016,Chinese,3,Death
W.P. Putrajaya,01/01/2017,2017,Chinese,2,Death
W.P. Putrajaya,01/01/2018,2018,Chinese,2,Death
W.P. Putrajaya,01/01/2019,2019,Chinese,2,Death
W.P. Putrajaya,01/01/2020,2020,Chinese,4,Death
W.P. Putrajaya,01/01/2021,2021,Chinese,4,Death
W.P. Putrajaya,01/01/2022,2022,Chinese,4,Death
Johor,01/01/2012,2012,Indian,1264,Death
Johor,01/01/2013,2013,Indian,1372,Death
Johor,01/01/2014,2014,Indian,1390,Death
Johor,01/01/2015,2015,Indian,1478,Death
Johor,01/01/2016,2016,Indian,1550,Death
Johor,01/01/2017,2017,Indian,1658,Death
Johor,01/01/2018,2018,Indian,1708,Death
Johor,01/01/2019,2019,Indian,1835,Death
Johor,01/01/2020,2020,Indian,1574,Death
Johor,01/01/2021,2021,Indian,2059,Death
Johor,01/01/2022,2022,Indian,1912,Death
Kedah,01/01/2012,2012,Indian,936,Death
Kedah,01/01/2013,2013,Indian,876,Death
Kedah,01/01/2014,2014,Indian,939,Death
Kedah,01/01/2015,2015,Indian,962,Death
Kedah,01/01/2016,2016,Indian,946,Death
Kedah,01/01/2017,2017,Indian,964,Death
Kedah,01/01/2018,2018,Indian,999,Death
Kedah,01/01/2019,2019,Indian,1070,Death
Kedah,01/01/2020,2020,Indian,969,Death
Kedah,01/01/2021,2021,Indian,1448,Death
Kedah,01/01/2022,2022,Indian,1167,Death
Kelantan,01/01/2012,2012,Indian,35,Death
Kelantan,01/01/2013,2013,Indian,24,Death
Kelantan,01/01/2014,2014,Indian,23,Death
Kelantan,01/01/2015,2015,Indian,26,Death
Kelantan,01/01/2016,2016,Indian,24,Death
Kelantan,01/01/2017,2017,Indian,36,Death
Kelantan,01/01/2018,2018,Indian,27,Death
Kelantan,01/01/2019,2019,Indian,31,Death
Kelantan,01/01/2020,2020,Indian,21,Death
Kelantan,01/01/2021,2021,Indian,40,Death
Kelantan,01/01/2022,2022,Indian,36,Death
Melaka,01/01/2012,2012,Indian,342,Death
Melaka,01/01/2013,2013,Indian,353,Death
Melaka,01/01/2014,2014,Indian,338,Death
Melaka,01/01/2015,2015,Indian,339,Death
Melaka,01/01/2016,2016,Indian,377,Death
Melaka,01/01/2017,2017,Indian,406,Death
Melaka,01/01/2018,2018,Indian,401,Death
Melaka,01/01/2019,2019,Indian,384,Death
Melaka,01/01/2020,2020,Indian,402,Death
Melaka,01/01/2021,2021,Indian,502,Death
Melaka,01/01/2022,2022,Indian,503,Death
Negeri Sembilan,01/01/2012,2012,Indian,960,Death
Negeri Sembilan,01/01/2013,2013,Indian,1075,Death
Negeri Sembilan,01/01/2014,2014,Indian,1055,Death
Negeri Sembilan,01/01/2015,2015,Indian,1070,Death
Negeri Sembilan,01/01/2016,2016,Indian,1153,Death
Negeri Sembilan,01/01/2017,2017,Indian,1168,Death
Negeri Sembilan,01/01/2018,2018,Indian,1215,Death
Negeri Sembilan,01/01/2019,2019,Indian,1127,Death
Negeri Sembilan,01/01/2020,2020,Indian,1129,Death
Negeri Sembilan,01/01/2021,2021,Indian,1545,Death
Negeri Sembilan,01/01/2022,2022,Indian,1371,Death
Pahang,01/01/2012,2012,Indian,353,Death
Pahang,01/01/2013,2013,Indian,383,Death
Pahang,01/01/2014,2014,Indian,396,Death
Pahang,01/01/2015,2015,Indian,376,Death
Pahang,01/01/2016,2016,Indian,398,Death
Pahang,01/01/2017,2017,Indian,426,Death
Pahang,01/01/2018,2018,Indian,407,Death
Pahang,01/01/2019,2019,Indian,407,Death
Pahang,01/01/2020,2020,Indian,360,Death
Pahang,01/01/2021,2021,Indian,507,Death
Pahang,01/01/2022,2022,Indian,465,Death
Perak,01/01/2012,2012,Indian,2041,Death
Perak,01/01/2013,2013,Indian,2153,Death
Perak,01/01/2014,2014,Indian,2121,Death
Perak,01/01/2015,2015,Indian,2103,Death
Perak,01/01/2016,2016,Indian,2203,Death
Perak,01/01/2017,2017,Indian,2147,Death
Perak,01/01/2018,2018,Indian,2273,Death
Perak,01/01/2019,2019,Indian,2367,Death
Perak,01/01/2020,2020,Indian,2203,Death
Perak,01/01/2021,2021,Indian,2697,Death
Perak,01/01/2022,2022,Indian,2763,Death
Perlis,01/01/2012,2012,Indian,17,Death
Perlis,01/01/2013,2013,Indian,26,Death
Perlis,01/01/2014,2014,Indian,19,Death
Perlis,01/01/2015,2015,Indian,26,Death
Perlis,01/01/2016,2016,Indian,30,Death
Perlis,01/01/2017,2017,Indian,36,Death
Perlis,01/01/2018,2018,Indian,18,Death
Perlis,01/01/2019,2019,Indian,29,Death
Perlis,01/01/2020,2020,Indian,31,Death
Perlis,01/01/2021,2021,Indian,26,Death
Perlis,01/01/2022,2022,Indian,30,Death
Pulau Pinang,01/01/2012,2012,Indian,1164,Death
Pulau Pinang,01/01/2013,2013,Indian,1207,Death
Pulau Pinang,01/01/2014,2014,Indian,1262,Death
Pulau Pinang,01/01/2015,2015,Indian,1244,Death
Pulau Pinang,01/01/2016,2016,Indian,1325,Death
Pulau Pinang,01/01/2017,2017,Indian,1373,Death
Pulau Pinang,01/01/2018,2018,Indian,1442,Death
Pulau Pinang,01/01/2019,2019,Indian,1440,Death
Pulau Pinang,01/01/2020,2020,Indian,1405,Death
Pulau Pinang,01/01/2021,2021,Indian,1856,Death
Pulau Pinang,01/01/2022,2022,Indian,1678,Death
Sabah,01/01/2012,2012,Indian,18,Death
Sabah,01/01/2013,2013,Indian,37,Death
Sabah,01/01/2014,2014,Indian,61,Death
Sabah,01/01/2015,2015,Indian,63,Death
Sabah,01/01/2016,2016,Indian,44,Death
Sabah,01/01/2017,2017,Indian,48,Death
Sabah,01/01/2018,2018,Indian,46,Death
Sabah,01/01/2019,2019,Indian,51,Death
Sabah,01/01/2020,2020,Indian,39,Death
Sabah,01/01/2021,2021,Indian,47,Death
Sabah,01/01/2022,2022,Indian,49,Death
Sarawak,01/01/2012,2012,Indian,32,Death
Sarawak,01/01/2013,2013,Indian,22,Death
Sarawak,01/01/2014,2014,Indian,29,Death
Sarawak,01/01/2015,2015,Indian,16,Death
Sarawak,01/01/2016,2016,Indian,26,Death
Sarawak,01/01/2017,2017,Indian,29,Death
Sarawak,01/01/2018,2018,Indian,27,Death
Sarawak,01/01/2019,2019,Indian,39,Death
Sarawak,01/01/2020,2020,Indian,24,Death
Sarawak,01/01/2021,2021,Indian,26,Death
Sarawak,01/01/2022,2022,Indian,39,Death
Selangor,01/01/2012,2012,Indian,3748,Death
Selangor,01/01/2013,2013,Indian,3930,Death
Selangor,01/01/2014,2014,Indian,4019,Death
Selangor,01/01/2015,2015,Indian,4008,Death
Selangor,01/01/2016,2016,Indian,4408,Death
Selangor,01/01/2017,2017,Indian,4474,Death
Selangor,01/01/2018,2018,Indian,4683,Death
Selangor,01/01/2019,2019,Indian,4743,Death
Selangor,01/01/2020,2020,Indian,4173,Death
Selangor,01/01/2021,2021,Indian,6955,Death
Selangor,01/01/2022,2022,Indian,5517,Death
Terengganu,01/01/2012,2012,Indian,16,Death
Terengganu,01/01/2013,2013,Indian,14,Death
Terengganu,01/01/2014,2014,Indian,14,Death
Terengganu,01/01/2015,2015,Indian,10,Death
Terengganu,01/01/2016,2016,Indian,15,Death
Terengganu,01/01/2017,2017,Indian,15,Death
Terengganu,01/01/2018,2018,Indian,16,Death
Terengganu,01/01/2019,2019,Indian,10,Death
Terengganu,01/01/2020,2020,Indian,14,Death
Terengganu,01/01/2021,2021,Indian,19,Death
Terengganu,01/01/2022,2022,Indian,21,Death
W.P. Kuala Lumpur,01/01/2012,2012,Indian,992,Death
W.P. Kuala Lumpur,01/01/2013,2013,Indian,985,Death
W.P. Kuala Lumpur,01/01/2014,2014,Indian,992,Death
W.P. Kuala Lumpur,01/01/2015,2015,Indian,1001,Death
W.P. Kuala Lumpur,01/01/2016,2016,Indian,1032,Death
W.P. Kuala Lumpur,01/01/2017,2017,Indian,1096,Death
W.P. Kuala Lumpur,01/01/2018,2018,Indian,1121,Death
W.P. Kuala Lumpur,01/01/2019,2019,Indian,1146,Death
W.P. Kuala Lumpur,01/01/2020,2020,Indian,1038,Death
W.P. Kuala Lumpur,01/01/2021,2021,Indian,1663,Death
W.P. Kuala Lumpur,01/01/2022,2022,Indian,1370,Death
W.P. Labuan,01/01/2012,2012,Indian,6,Death
W.P. Labuan,01/01/2013,2013,Indian,3,Death
W.P. Labuan,01/01/2014,2014,Indian,0,Death
W.P. Labuan,01/01/2015,2015,Indian,3,Death
W.P. Labuan,01/01/2016,2016,Indian,3,Death
W.P. Labuan,01/01/2017,2017,Indian,3,Death
W.P. Labuan,01/01/2018,2018,Indian,4,Death
W.P. Labuan,01/01/2019,2019,Indian,2,Death
W.P. Labuan,01/01/2020,2020,Indian,4,Death
W.P. Labuan,01/01/2021,2021,Indian,5,Death
W.P. Labuan,01/01/2022,2022,Indian,5,Death
W.P. Putrajaya,01/01/2012,2012,Indian,2,Death
W.P. Putrajaya,01/01/2013,2013,Indian,5,Death
W.P. Putrajaya,01/01/2014,2014,Indian,3,Death
W.P. Putrajaya,01/01/2015,2015,Indian,4,Death
W.P. Putrajaya,01/01/2016,2016,Indian,5,Death
W.P. Putrajaya,01/01/2017,2017,Indian,7,Death
W.P. Putrajaya,01/01/2018,2018,Indian,5,Death
W.P. Putrajaya,01/01/2019,2019,Indian,5,Death
W.P. Putrajaya,01/01/2020,2020,Indian,4,Death
W.P. Putrajaya,01/01/2021,2021,Indian,11,Death
W.P. Putrajaya,01/01/2022,2022,Indian,9,Death
Johor,01/01/2012,2012,Bumi Malay,37259,Birth
Johor,01/01/2013,2013,Bumi Malay,37002,Birth
Johor,01/01/2014,2014,Bumi Malay,39219,Birth
Johor,01/01/2015,2015,Bumi Malay,39989,Birth
Johor,01/01/2016,2016,Bumi Malay,40223,Birth
Johor,01/01/2017,2017,Bumi Malay,41767,Birth
Johor,01/01/2018,2018,Bumi Malay,42105,Birth
Johor,01/01/2019,2019,Bumi Malay,41347,Birth
Johor,01/01/2020,2020,Bumi Malay,39718,Birth
Johor,01/01/2021,2021,Bumi Malay,37231,Birth
Johor,01/01/2022,2022,Bumi Malay,35918,Birth
Kedah,01/01/2012,2012,Bumi Malay,30456,Birth
Kedah,01/01/2013,2013,Bumi Malay,30032,Birth
Kedah,01/01/2014,2014,Bumi Malay,31266,Birth
Kedah,01/01/2015,2015,Bumi Malay,31705,Birth
Kedah,01/01/2016,2016,Bumi Malay,31302,Birth
Kedah,01/01/2017,2017,Bumi Malay,32127,Birth
Kedah,01/01/2018,2018,Bumi Malay,31392,Birth
Kedah,01/01/2019,2019,Bumi Malay,30345,Birth
Kedah,01/01/2020,2020,Bumi Malay,29683,Birth
Kedah,01/01/2021,2021,Bumi Malay,29466,Birth
Kedah,01/01/2022,2022,Bumi Malay,27494,Birth
Kelantan,01/01/2012,2012,Bumi Malay,35294,Birth
Kelantan,01/01/2013,2013,Bumi Malay,34808,Birth
Kelantan,01/01/2014,2014,Bumi Malay,37527,Birth
Kelantan,01/01/2015,2015,Bumi Malay,37556,Birth
Kelantan,01/01/2016,2016,Bumi Malay,36919,Birth
Kelantan,01/01/2017,2017,Bumi Malay,37546,Birth
Kelantan,01/01/2018,2018,Bumi Malay,36968,Birth
Kelantan,01/01/2019,2019,Bumi Malay,35442,Birth
Kelantan,01/01/2020,2020,Bumi Malay,34808,Birth
Kelantan,01/01/2021,2021,Bumi Malay,33500,Birth
Kelantan,01/01/2022,2022,Bumi Malay,32464,Birth
Melaka,01/01/2012,2012,Bumi Malay,10292,Birth
Melaka,01/01/2013,2013,Bumi Malay,10392,Birth
Melaka,01/01/2014,2014,Bumi Malay,11078,Birth
Melaka,01/01/2015,2015,Bumi Malay,11324,Birth
Melaka,01/01/2016,2016,Bumi Malay,11326,Birth
Melaka,01/01/2017,2017,Bumi Malay,11423,Birth
Melaka,01/01/2018,2018,Bumi Malay,11566,Birth
Melaka,01/01/2019,2019,Bumi Malay,11386,Birth
Melaka,01/01/2020,2020,Bumi Malay,11206,Birth
Melaka,01/01/2021,2021,Bumi Malay,11008,Birth
Melaka,01/01/2022,2022,Bumi Malay,10927,Birth
Negeri Sembilan,01/01/2012,2012,Bumi Malay,11738,Birth
Negeri Sembilan,01/01/2013,2013,Bumi Malay,11896,Birth
Negeri Sembilan,01/01/2014,2014,Bumi Malay,12901,Birth
Negeri Sembilan,01/01/2015,2015,Bumi Malay,13081,Birth
Negeri Sembilan,01/01/2016,2016,Bumi Malay,13087,Birth
Negeri Sembilan,01/01/2017,2017,Bumi Malay,13314,Birth
Negeri Sembilan,01/01/2018,2018,Bumi Malay,13538,Birth
Negeri Sembilan,01/01/2019,2019,Bumi Malay,12927,Birth
Negeri Sembilan,01/01/2020,2020,Bumi Malay,12797,Birth
Negeri Sembilan,01/01/2021,2021,Bumi Malay,12953,Birth
Negeri Sembilan,01/01/2022,2022,Bumi Malay,12244,Birth
Pahang,01/01/2012,2012,Bumi Malay,20770,Birth
Pahang,01/01/2013,2013,Bumi Malay,20846,Birth
Pahang,01/01/2014,2014,Bumi Malay,22499,Birth
Pahang,01/01/2015,2015,Bumi Malay,22219,Birth
Pahang,01/01/2016,2016,Bumi Malay,22181,Birth
Pahang,01/01/2017,2017,Bumi Malay,22348,Birth
Pahang,01/01/2018,2018,Bumi Malay,22146,Birth
Pahang,01/01/2019,2019,Bumi Malay,21008,Birth
Pahang,01/01/2020,2020,Bumi Malay,20619,Birth
Pahang,01/01/2021,2021,Bumi Malay,20234,Birth
Pahang,01/01/2022,2022,Bumi Malay,19461,Birth
Perak,01/01/2012,2012,Bumi Malay,23521,Birth
Perak,01/01/2013,2013,Bumi Malay,23291,Birth
Perak,01/01/2014,2014,Bumi Malay,24383,Birth
Perak,01/01/2015,2015,Bumi Malay,24711,Birth
Perak,01/01/2016,2016,Bumi Malay,25136,Birth
Perak,01/01/2017,2017,Bumi Malay,24812,Birth
Perak,01/01/2018,2018,Bumi Malay,24575,Birth
Perak,01/01/2019,2019,Bumi Malay,23865,Birth
Perak,01/01/2020,2020,Bumi Malay,23019,Birth
Perak,01/01/2021,2021,Bumi Malay,23369,Birth
Perak,01/01/2022,2022,Bumi Malay,22618,Birth
Perlis,01/01/2012,2012,Bumi Malay,3733,Birth
Perlis,01/01/2013,2013,Bumi Malay,3672,Birth
Perlis,01/01/2014,2014,Bumi Malay,4076,Birth
Perlis,01/01/2015,2015,Bumi Malay,3935,Birth
Perlis,01/01/2016,2016,Bumi Malay,4033,Birth
Perlis,01/01/2017,2017,Bumi Malay,4107,Birth
Perlis,01/01/2018,2018,Bumi Malay,4062,Birth
Perlis,01/01/2019,2019,Bumi Malay,3788,Birth
Perlis,01/01/2020,2020,Bumi Malay,3806,Birth
Perlis,01/01/2021,2021,Bumi Malay,3779,Birth
Perlis,01/01/2022,2022,Bumi Malay,3506,Birth
Pulau Pinang,01/01/2012,2012,Bumi Malay,12110,Birth
Pulau Pinang,01/01/2013,2013,Bumi Malay,11737,Birth
Pulau Pinang,01/01/2014,2014,Bumi Malay,12369,Birth
Pulau Pinang,01/01/2015,2015,Bumi Malay,12236,Birth
Pulau Pinang,01/01/2016,2016,Bumi Malay,12264,Birth
Pulau Pinang,01/01/2017,2017,Bumi Malay,12401,Birth
Pulau Pinang,01/01/2018,2018,Bumi Malay,12342,Birth
Pulau Pinang,01/01/2019,2019,Bumi Malay,11944,Birth
Pulau Pinang,01/01/2020,2020,Bumi Malay,11692,Birth
Pulau Pinang,01/01/2021,2021,Bumi Malay,11583,Birth
Pulau Pinang,01/01/2022,2022,Bumi Malay,11253,Birth
Sabah,01/01/2012,2012,Bumi Malay,9568,Birth
Sabah,01/01/2013,2013,Bumi Malay,9385,Birth
Sabah,01/01/2014,2014,Bumi Malay,9601,Birth
Sabah,01/01/2015,2015,Bumi Malay,9749,Birth
Sabah,01/01/2016,2016,Bumi Malay,9341,Birth
Sabah,01/01/2017,2017,Bumi Malay,9427,Birth
Sabah,01/01/2018,2018,Bumi Malay,9174,Birth
Sabah,01/01/2019,2019,Bumi Malay,8862,Birth
Sabah,01/01/2020,2020,Bumi Malay,8315,Birth
Sabah,01/01/2021,2021,Bumi Malay,6896,Birth
Sabah,01/01/2022,2022,Bumi Malay,7258,Birth
Sarawak,01/01/2012,2012,Bumi Malay,10830,Birth
Sarawak,01/01/2013,2013,Bumi Malay,10454,Birth
Sarawak,01/01/2014,2014,Bumi Malay,10733,Birth
Sarawak,01/01/2015,2015,Bumi Malay,10529,Birth
Sarawak,01/01/2016,2016,Bumi Malay,10271,Birth
Sarawak,01/01/2017,2017,Bumi Malay,10650,Birth
Sarawak,01/01/2018,2018,Bumi Malay,10360,Birth
Sarawak,01/01/2019,2019,Bumi Malay,10333,Birth
Sarawak,01/01/2020,2020,Bumi Malay,10015,Birth
Sarawak,01/01/2021,2021,Bumi Malay,9574,Birth
Sarawak,01/01/2022,2022,Bumi Malay,9174,Birth
Selangor,01/01/2012,2012,Bumi Malay,66942,Birth
Selangor,01/01/2013,2013,Bumi Malay,66836,Birth
Selangor,01/01/2014,2014,Bumi Malay,70452,Birth
Selangor,01/01/2015,2015,Bumi Malay,71721,Birth
Selangor,01/01/2016,2016,Bumi Malay,71252,Birth
Selangor,01/01/2017,2017,Bumi Malay,71777,Birth
Selangor,01/01/2018,2018,Bumi Malay,71486,Birth
Selangor,01/01/2019,2019,Bumi Malay,67920,Birth
Selangor,01/01/2020,2020,Bumi Malay,65154,Birth
Selangor,01/01/2021,2021,Bumi Malay,64410,Birth
Selangor,01/01/2022,2022,Bumi Malay,60197,Birth
Terengganu,01/01/2012,2012,Bumi Malay,25108,Birth
Terengganu,01/01/2013,2013,Bumi Malay,24946,Birth
Terengganu,01/01/2014,2014,Bumi Malay,26422,Birth
Terengganu,01/01/2015,2015,Bumi Malay,26928,Birth
Terengganu,01/01/2016,2016,Bumi Malay,26890,Birth
Terengganu,01/01/2017,2017,Bumi Malay,27205,Birth
Terengganu,01/01/2018,2018,Bumi Malay,27665,Birth
Terengganu,01/01/2019,2019,Bumi Malay,26491,Birth
Terengganu,01/01/2020,2020,Bumi Malay,26491,Birth
Terengganu,01/01/2021,2021,Bumi Malay,25708,Birth
Terengganu,01/01/2022,2022,Bumi Malay,24678,Birth
W.P. Kuala Lumpur,01/01/2012,2012,Bumi Malay,13600,Birth
W.P. Kuala Lumpur,01/01/2013,2013,Bumi Malay,13397,Birth
W.P. Kuala Lumpur,01/01/2014,2014,Bumi Malay,14326,Birth
W.P. Kuala Lumpur,01/01/2015,2015,Bumi Malay,14002,Birth
W.P. Kuala Lumpur,01/01/2016,2016,Bumi Malay,14271,Birth
W.P. Kuala Lumpur,01/01/2017,2017,Bumi Malay,13981,Birth
W.P. Kuala Lumpur,01/01/2018,2018,Bumi Malay,13926,Birth
W.P. Kuala Lumpur,01/01/2019,2019,Bumi Malay,13565,Birth
W.P. Kuala Lumpur,01/01/2020,2020,Bumi Malay,13107,Birth
W.P. Kuala Lumpur,01/01/2021,2021,Bumi Malay,12298,Birth
W.P. Kuala Lumpur,01/01/2022,2022,Bumi Malay,11884,Birth
W.P. Labuan,01/01/2012,2012,Bumi Malay,662,Birth
W.P. Labuan,01/01/2013,2013,Bumi Malay,650,Birth
W.P. Labuan,01/01/2014,2014,Bumi Malay,694,Birth
W.P. Labuan,01/01/2015,2015,Bumi Malay,759,Birth
W.P. Labuan,01/01/2016,2016,Bumi Malay,658,Birth
W.P. Labuan,01/01/2017,2017,Bumi Malay,654,Birth
W.P. Labuan,01/01/2018,2018,Bumi Malay,690,Birth
W.P. Labuan,01/01/2019,2019,Bumi Malay,612,Birth
W.P. Labuan,01/01/2020,2020,Bumi Malay,629,Birth
W.P. Labuan,01/01/2021,2021,Bumi Malay,584,Birth
W.P. Labuan,01/01/2022,2022,Bumi Malay,515,Birth
W.P. Putrajaya,01/01/2012,2012,Bumi Malay,3053,Birth
W.P. Putrajaya,01/01/2013,2013,Bumi Malay,2893,Birth
W.P. Putrajaya,01/01/2014,2014,Bumi Malay,2975,Birth
W.P. Putrajaya,01/01/2015,2015,Bumi Malay,2782,Birth
W.P. Putrajaya,01/01/2016,2016,Bumi Malay,2483,Birth
W.P. Putrajaya,01/01/2017,2017,Bumi Malay,2425,Birth
W.P. Putrajaya,01/01/2018,2018,Bumi Malay,2309,Birth
W.P. Putrajaya,01/01/2019,2019,Bumi Malay,2229,Birth
W.P. Putrajaya,01/01/2020,2020,Bumi Malay,2044,Birth
W.P. Putrajaya,01/01/2021,2021,Bumi Malay,2027,Birth
W.P. Putrajaya,01/01/2022,2022,Bumi Malay,1762,Birth
Johor,01/01/2012,2012,Bumi Other,1652,Birth
Johor,01/01/2013,2013,Bumi Other,1554,Birth
Johor,01/01/2014,2014,Bumi Other,1567,Birth
Johor,01/01/2015,2015,Bumi Other,1447,Birth
Johor,01/01/2016,2016,Bumi Other,1478,Birth
Johor,01/01/2017,2017,Bumi Other,1480,Birth
Johor,01/01/2018,2018,Bumi Other,1528,Birth
Johor,01/01/2019,2019,Bumi Other,1509,Birth
Johor,01/01/2020,2020,Bumi Other,1490,Birth
Johor,01/01/2021,2021,Bumi Other,1290,Birth
Johor,01/01/2022,2022,Bumi Other,1097,Birth
Kedah,01/01/2012,2012,Bumi Other,119,Birth
Kedah,01/01/2013,2013,Bumi Other,93,Birth
Kedah,01/01/2014,2014,Bumi Other,93,Birth
Kedah,01/01/2015,2015,Bumi Other,102,Birth
Kedah,01/01/2016,2016,Bumi Other,75,Birth
Kedah,01/01/2017,2017,Bumi Other,91,Birth
Kedah,01/01/2018,2018,Bumi Other,85,Birth
Kedah,01/01/2019,2019,Bumi Other,90,Birth
Kedah,01/01/2020,2020,Bumi Other,95,Birth
Kedah,01/01/2021,2021,Bumi Other,82,Birth
Kedah,01/01/2022,2022,Bumi Other,80,Birth
Kelantan,01/01/2012,2012,Bumi Other,609,Birth
Kelantan,01/01/2013,2013,Bumi Other,555,Birth
Kelantan,01/01/2014,2014,Bumi Other,591,Birth
Kelantan,01/01/2015,2015,Bumi Other,507,Birth
Kelantan,01/01/2016,2016,Bumi Other,466,Birth
Kelantan,01/01/2017,2017,Bumi Other,474,Birth
Kelantan,01/01/2018,2018,Bumi Other,445,Birth
Kelantan,01/01/2019,2019,Bumi Other,456,Birth
Kelantan,01/01/2020,2020,Bumi Other,507,Birth
Kelantan,01/01/2021,2021,Bumi Other,441,Birth
Kelantan,01/01/2022,2022,Bumi Other,412,Birth
Melaka,01/01/2012,2012,Bumi Other,246,Birth
Melaka,01/01/2013,2013,Bumi Other,215,Birth
Melaka,01/01/2014,2014,Bumi Other,245,Birth
Melaka,01/01/2015,2015,Bumi Other,203,Birth
Melaka,01/01/2016,2016,Bumi Other,205,Birth
Melaka,01/01/2017,2017,Bumi Other,227,Birth
Melaka,01/01/2018,2018,Bumi Other,203,Birth
Melaka,01/01/2019,2019,Bumi Other,175,Birth
Melaka,01/01/2020,2020,Bumi Other,200,Birth
Melaka,01/01/2021,2021,Bumi Other,160,Birth
Melaka,01/01/2022,2022,Bumi Other,149,Birth
Negeri Sembilan,01/01/2012,2012,Bumi Other,577,Birth
Negeri Sembilan,01/01/2013,2013,Bumi Other,516,Birth
Negeri Sembilan,01/01/2014,2014,Bumi Other,556,Birth
Negeri Sembilan,01/01/2015,2015,Bumi Other,464,Birth
Negeri Sembilan,01/01/2016,2016,Bumi Other,496,Birth
Negeri Sembilan,01/01/2017,2017,Bumi Other,508,Birth
Negeri Sembilan,01/01/2018,2018,Bumi Other,490,Birth
Negeri Sembilan,01/01/2019,2019,Bumi Other,483,Birth
Negeri Sembilan,01/01/2020,2020,Bumi Other,432,Birth
Negeri Sembilan,01/01/2021,2021,Bumi Other,388,Birth
Negeri Sembilan,01/01/2022,2022,Bumi Other,383,Birth
Pahang,01/01/2012,2012,Bumi Other,2342,Birth
Pahang,01/01/2013,2013,Bumi Other,2260,Birth
Pahang,01/01/2014,2014,Bumi Other,2287,Birth
Pahang,01/01/2015,2015,Bumi Other,2231,Birth
Pahang,01/01/2016,2016,Bumi Other,2032,Birth
Pahang,01/01/2017,2017,Bumi Other,2032,Birth
Pahang,01/01/2018,2018,Bumi Other,2008,Birth
Pahang,01/01/2019,2019,Bumi Other,2078,Birth
Pahang,01/01/2020,2020,Bumi Other,2004,Birth
Pahang,01/01/2021,2021,Bumi Other,1874,Birth
Pahang,01/01/2022,2022,Bumi Other,1874,Birth
Perak,01/01/2012,2012,Bumi Other,1777,Birth
Perak,01/01/2013,2013,Bumi Other,1639,Birth
Perak,01/01/2014,2014,Bumi Other,1553,Birth
Perak,01/01/2015,2015,Bumi Other,1559,Birth
Perak,01/01/2016,2016,Bumi Other,1446,Birth
Perak,01/01/2017,2017,Bumi Other,1382,Birth
Perak,01/01/2018,2018,Bumi Other,1321,Birth
Perak,01/01/2019,2019,Bumi Other,1407,Birth
Perak,01/01/2020,2020,Bumi Other,1362,Birth
Perak,01/01/2021,2021,Bumi Other,1165,Birth
Perak,01/01/2022,2022,Bumi Other,1105,Birth
Perlis,01/01/2012,2012,Bumi Other,21,Birth
Perlis,01/01/2013,2013,Bumi Other,15,Birth
Perlis,01/01/2014,2014,Bumi Other,10,Birth
Perlis,01/01/2015,2015,Bumi Other,13,Birth
Perlis,01/01/2016,2016,Bumi Other,19,Birth
Perlis,01/01/2017,2017,Bumi Other,22,Birth
Perlis,01/01/2018,2018,Bumi Other,17,Birth
Perlis,01/01/2019,2019,Bumi Other,15,Birth
Perlis,01/01/2020,2020,Bumi Other,15,Birth
Perlis,01/01/2021,2021,Bumi Other,10,Birth
Perlis,01/01/2022,2022,Bumi Other,12,Birth
Pulau Pinang,01/01/2012,2012,Bumi Other,117,Birth
Pulau Pinang,01/01/2013,2013,Bumi Other,118,Birth
Pulau Pinang,01/01/2014,2014,Bumi Other,103,Birth
Pulau Pinang,01/01/2015,2015,Bumi Other,93,Birth
Pulau Pinang,01/01/2016,2016,Bumi Other,99,Birth
Pulau Pinang,01/01/2017,2017,Bumi Other,132,Birth
Pulau Pinang,01/01/2018,2018,Bumi Other,86,Birth
Pulau Pinang,01/01/2019,2019,Bumi Other,95,Birth
Pulau Pinang,01/01/2020,2020,Bumi Other,100,Birth
Pulau Pinang,01/01/2021,2021,Bumi Other,90,Birth
Pulau Pinang,01/01/2022,2022,Bumi Other,98,Birth
Sabah,01/01/2012,2012,Bumi Other,35690,Birth
Sabah,01/01/2013,2013,Bumi Other,34759,Birth
Sabah,01/01/2014,2014,Bumi Other,35545,Birth
Sabah,01/01/2015,2015,Bumi Other,35409,Birth
Sabah,01/01/2016,2016,Bumi Other,34514,Birth
Sabah,01/01/2017,2017,Bumi Other,34759,Birth
Sabah,01/01/2018,2018,Bumi Other,35151,Birth
Sabah,01/01/2019,2019,Bumi Other,34622,Birth
Sabah,01/01/2020,2020,Bumi Other,32946,Birth
