state,date,sex,ethnicity,abs
Pahang,2018-01-01,both,overall,27006
Pahang,2019-01-01,both,overall,25887
Pahang,2020-01-01,both,overall,25344
Pahang,2021-01-01,both,overall,24507
Pahang,2022-01-01,both,overall,23568
Perak,2000-01-01,both,overall,48589
Perak,2001-01-01,both,overall,43533
Perak,2002-01-01,both,overall,42289
Perak,2003-01-01,both,overall,39822
Perak,2004-01-01,both,overall,39012
Perak,2005-01-01,both,overall,37369
Perak,2006-01-01,both,overall,36835
Perak,2007-01-01,both,overall,36628
Perak,2008-01-01,both,overall,37174
Perak,2009-01-01,both,overall,37203
Perak,2010-01-01,both,overall,36026
Perak,2011-01-01,both,overall,37522
Perak,2012-01-01,both,overall,37712
Perak,2013-01-01,both,overall,35427
Perak,2014-01-01,both,overall,36586
Perak,2015-01-01,both,overall,36284
Perak,2016-01-01,both,overall,35685
Perak,2017-01-01,both,overall,34838
Perak,2018-01-01,both,overall,33869
Perak,2019-01-01,both,overall,33005
Perak,2020-01-01,both,overall,31582
Perak,2021-01-01,both,overall,30816
Perak,2022-01-01,both,overall,29543
Perlis,2000-01-01,both,overall,4651
Perlis,2001-01-01,both,overall,4340
Perlis,2002-01-01,both,overall,4225
Perlis,2003-01-01,both,overall,4058
Perlis,2004-01-01,both,overall,3964
Perlis,2005-01-01,both,overall,3932
Perlis,2006-01-01,both,overall,3891
Perlis,2007-01-01,both,overall,3946
Perlis,2008-01-01,both,overall,4175
Perlis,2009-01-01,both,overall,4237
Perlis,2010-01-01,both,overall,4114
Perlis,2011-01-01,both,overall,4161
Perlis,2012-01-01,both,overall,4143
Perlis,2013-01-01,both,overall,4050
Perlis,2014-01-01,both,overall,4509
Perlis,2015-01-01,both,overall,4315
Perlis,2016-01-01,both,overall,4392
Perlis,2017-01-01,both,overall,4447
Perlis,2018-01-01,both,overall,4371
Perlis,2019-01-01,both,overall,4060
Perlis,2020-01-01,both,overall,4101
Perlis,2021-01-01,both,overall,4076
Perlis,2022-01-01,both,overall,3746
