State,Date,Year,Sex,Ethnicity,NumberOfPeople,Type
Sarawak,01/01/2018,2018,Female,Overall,17748,Birth
Sarawak,01/01/2019,2019,Female,Overall,17635,Birth
Sarawak,01/01/2020,2020,Female,Overall,17009,Birth
Sarawak,01/01/2021,2021,Female,Overall,15212,Birth
Sarawak,01/01/2022,2022,Female,Overall,14988,Birth
Selangor,01/01/2012,2012,Male,Overall,56078,Birth
Selangor,01/01/2013,2013,Male,Overall,53282,Birth
Selangor,01/01/2014,2014,Male,Overall,56023,Birth
Selangor,01/01/2015,2015,Male,Overall,55720,Birth
Selangor,01/01/2016,2016,Male,Overall,54027,Birth
Selangor,01/01/2017,2017,Male,Overall,53823,Birth
Selangor,01/01/2018,2018,Male,Overall,52784,Birth
Selangor,01/01/2019,2019,Male,Overall,50760,Birth
Selangor,01/01/2020,2020,Male,Overall,48318,Birth
Selangor,01/01/2021,2021,Male,Overall,46638,Birth
Selangor,01/01/2022,2022,Male,Overall,43346,Birth
Selangor,01/01/2012,2012,Female,Overall,51868,Birth
Selangor,01/01/2013,2013,Female,Overall,49891,Birth
Selangor,01/01/2014,2014,Female,Overall,52909,Birth
Selangor,01/01/2015,2015,Female,Overall,52411,Birth
Selangor,01/01/2016,2016,Female,Overall,50634,Birth
Selangor,01/01/2017,2017,Female,Overall,50164,Birth
Selangor,01/01/2018,2018,Female,Overall,49341,Birth
Selangor,01/01/2019,2019,Female,Overall,48076,Birth
Selangor,01/01/2020,2020,Female,Overall,45259,Birth
Selangor,01/01/2021,2021,Female,Overall,43480,Birth
Selangor,01/01/2022,2022,Female,Overall,40312,Birth
Terengganu,01/01/2012,2012,Male,Overall,13230,Birth
Terengganu,01/01/2013,2013,Male,Overall,13026,Birth
Terengganu,01/01/2014,2014,Male,Overall,14056,Birth
Terengganu,01/01/2015,2015,Male,Overall,14403,Birth
Terengganu,01/01/2016,2016,Male,Overall,14211,Birth
Terengganu,01/01/2017,2017,Male,Overall,14177,Birth
Terengganu,01/01/2018,2018,Male,Overall,14578,Birth
Terengganu,01/01/2019,2019,Male,Overall,14088,Birth
Terengganu,01/01/2020,2020,Male,Overall,14118,Birth
Terengganu,01/01/2021,2021,Male,Overall,13632,Birth
Terengganu,01/01/2022,2022,Male,Overall,13077,Birth
Terengganu,01/01/2012,2012,Female,Overall,12468,Birth
Terengganu,01/01/2013,2013,Female,Overall,12439,Birth
Terengganu,01/01/2014,2014,Female,Overall,12957,Birth
Terengganu,01/01/2015,2015,Female,Overall,13226,Birth
Terengganu,01/01/2016,2016,Female,Overall,13310,Birth
Terengganu,01/01/2017,2017,Female,Overall,13734,Birth
Terengganu,01/01/2018,2018,Female,Overall,13664,Birth
Terengganu,01/01/2019,2019,Female,Overall,12997,Birth
Terengganu,01/01/2020,2020,Female,Overall,13059,Birth
Terengganu,01/01/2021,2021,Female,Overall,12705,Birth
Terengganu,01/01/2022,2022,Female,Overall,12227,Birth
W.P. Kuala Lumpur,01/01/2012,2012,Male,Overall,14012,Birth
W.P. Kuala Lumpur,01/01/2013,2013,Male,Overall,13044,Birth
W.P. Kuala Lumpur,01/01/2014,2014,Male,Overall,13887,Birth
W.P. Kuala Lumpur,01/01/2015,2015,Male,Overall,13411,Birth
W.P. Kuala Lumpur,01/01/2016,2016,Male,Overall,13276,Birth
W.P. Kuala Lumpur,01/01/2017,2017,Male,Overall,12722,Birth
W.P. Kuala Lumpur,01/01/2018,2018,Male,Overall,12475,Birth
W.P. Kuala Lumpur,01/01/2019,2019,Male,Overall,12473,Birth
W.P. Kuala Lumpur,01/01/2020,2020,Male,Overall,12113,Birth
W.P. Kuala Lumpur,01/01/2021,2021,Male,Overall,10992,Birth
W.P. Kuala Lumpur,01/01/2022,2022,Male,Overall,10234,Birth
W.P. Kuala Lumpur,01/01/2012,2012,Female,Overall,12970,Birth
W.P. Kuala Lumpur,01/01/2013,2013,Female,Overall,12289,Birth
W.P. Kuala Lumpur,01/01/2014,2014,Female,Overall,13213,Birth
W.P. Kuala Lumpur,01/01/2015,2015,Female,Overall,12378,Birth
W.P. Kuala Lumpur,01/01/2016,2016,Female,Overall,12463,Birth
W.P. Kuala Lumpur,01/01/2017,2017,Female,Overall,12010,Birth
W.P. Kuala Lumpur,01/01/2018,2018,Female,Overall,11760,Birth
W.P. Kuala Lumpur,01/01/2019,2019,Female,Overall,11448,Birth
W.P. Kuala Lumpur,01/01/2020,2020,Female,Overall,11086,Birth
W.P. Kuala Lumpur,01/01/2021,2021,Female,Overall,10054,Birth
W.P. Kuala Lumpur,01/01/2022,2022,Female,Overall,9619,Birth
W.P. Labuan,01/01/2012,2012,Male,Overall,934,Birth
W.P. Labuan,01/01/2013,2013,Male,Overall,944,Birth
W.P. Labuan,01/01/2014,2014,Male,Overall,959,Birth
W.P. Labuan,01/01/2015,2015,Male,Overall,1023,Birth
W.P. Labuan,01/01/2016,2016,Male,Overall,881,Birth
W.P. Labuan,01/01/2017,2017,Male,Overall,866,Birth
W.P. Labuan,01/01/2018,2018,Male,Overall,913,Birth
W.P. Labuan,01/01/2019,2019,Male,Overall,872,Birth
W.P. Labuan,01/01/2020,2020,Male,Overall,851,Birth
W.P. Labuan,01/01/2021,2021,Male,Overall,755,Birth
W.P. Labuan,01/01/2022,2022,Male,Overall,704,Birth
W.P. Labuan,01/01/2012,2012,Female,Overall,839,Birth
W.P. Labuan,01/01/2013,2013,Female,Overall,799,Birth
W.P. Labuan,01/01/2014,2014,Female,Overall,912,Birth
W.P. Labuan,01/01/2015,2015,Female,Overall,930,Birth
W.P. Labuan,01/01/2016,2016,Female,Overall,871,Birth
W.P. Labuan,01/01/2017,2017,Female,Overall,819,Birth
W.P. Labuan,01/01/2018,2018,Female,Overall,778,Birth
W.P. Labuan,01/01/2019,2019,Female,Overall,806,Birth
W.P. Labuan,01/01/2020,2020,Female,Overall,863,Birth
W.P. Labuan,01/01/2021,2021,Female,Overall,767,Birth
W.P. Labuan,01/01/2022,2022,Female,Overall,670,Birth
W.P. Putrajaya,01/01/2012,2012,Male,Overall,1600,Birth
W.P. Putrajaya,01/01/2013,2013,Male,Overall,1518,Birth
W.P. Putrajaya,01/01/2014,2014,Male,Overall,1574,Birth
W.P. Putrajaya,01/01/2015,2015,Male,Overall,1515,Birth
W.P. Putrajaya,01/01/2016,2016,Male,Overall,1342,Birth
W.P. Putrajaya,01/01/2017,2017,Male,Overall,1298,Birth
W.P. Putrajaya,01/01/2018,2018,Male,Overall,1251,Birth
W.P. Putrajaya,01/01/2019,2019,Male,Overall,1211,Birth
W.P. Putrajaya,01/01/2020,2020,Male,Overall,1073,Birth
W.P. Putrajaya,01/01/2021,2021,Male,Overall,1090,Birth
W.P. Putrajaya,01/01/2022,2022,Male,Overall,953,Birth
W.P. Putrajaya,01/01/2012,2012,Female,Overall,1550,Birth
W.P. Putrajaya,01/01/2013,2013,Female,Overall,1454,Birth
W.P. Putrajaya,01/01/2014,2014,Female,Overall,1490,Birth
W.P. Putrajaya,01/01/2015,2015,Female,Overall,1354,Birth
W.P. Putrajaya,01/01/2016,2016,Female,Overall,1227,Birth
W.P. Putrajaya,01/01/2017,2017,Female,Overall,1219,Birth
W.P. Putrajaya,01/01/2018,2018,Female,Overall,1149,Birth
W.P. Putrajaya,01/01/2019,2019,Female,Overall,1105,Birth
W.P. Putrajaya,01/01/2020,2020,Female,Overall,1070,Birth
W.P. Putrajaya,01/01/2021,2021,Female,Overall,1016,Birth
W.P. Putrajaya,01/01/2022,2022,Female,Overall,886,Birth
